Date,Hour,Total,Flow,Dam,Wind,Solar,Jeo,ren/tot
07.08.2022,14,35.31329,1.13863,5.96547,6.63722,1.15058,0.9172,44.76813120499392
07.08.2022,15,35.90433,1.08998,6.234319999999999,7.09185,1.0433599999999998,0.90265,45.57155084080387
07.08.2022,16,36.67112,1.09646,5.55179,7.72174,0.9435399999999999,0.89943,44.21179391303019
07.08.2022,17,37.87099,1.1170799999999999,5.80102,7.8481000000000005,0.69608,0.9019299999999999,43.21040986781703
07.08.2022,18,39.27255,1.13026,6.02919,7.9505799999999995,0.27647000000000005,0.93629,41.562847332296975
07.08.2022,19,39.940419999999996,1.14365,6.93009,7.7614399999999995,0.0215,0.96128,42.10761929894578
07.08.2022,20,41.64967,1.3501800000000002,8.31275,7.5971400000000004,0.00015,0.99239,43.82414074349209
07.08.2022,21,41.2845,1.3683699999999999,8.46245,7.38108,0.0,1.01456,44.148433431433105
07.08.2022,22,40.46877,1.24908,7.981310000000001,7.329350000000001,0.0,1.04041,43.49069665324645
07.08.2022,23,39.92388,1.16777,7.52472,6.92262,0.0,1.0558699999999999,41.75691340621202
08.08.2022,0,38.26561,1.0376400000000001,6.45312,6.661560000000001,0.0,1.0644200000000001,39.766098070826516
08.08.2022,1,36.79609,0.9951599999999999,5.27818,6.6969899999999996,0.0,1.05952,38.12864355968256
08.08.2022,2,35.55333,0.97602,4.19146,6.60717,0.0,1.04802,36.06601688224422
08.08.2022,3,34.791129999999995,0.97136,3.88231,6.59025,0.0,1.07406,35.98037775720421
08.08.2022,4,34.233309999999996,0.9846699999999999,3.25073,6.601859999999999,0.00025,1.07894,34.80951739694468
08.08.2022,5,33.236650000000004,0.9752000000000001,2.68885,6.5337700000000005,0.0070599999999999994,1.093,33.99223447609792
08.08.2022,6,32.5872,0.9264600000000001,1.95578,6.60884,0.10192,1.08906,32.779925860460544
08.08.2022,7,34.54338,0.93845,2.54163,6.4238100000000005,0.48092,1.07754,33.1824795373238
08.08.2022,8,39.646300000000004,1.1205999999999998,5.4874600000000004,6.28859,0.87925,1.05949,37.41935565235596
08.08.2022,9,42.198879999999996,1.32965,7.02342,6.16215,1.07817,1.0303900000000001,39.39388912691522
08.08.2022,10,42.81969,1.4373900000000002,7.1975299999999995,6.10999,1.16146,0.9969600000000001,39.47560106110063
08.08.2022,11,43.70024,1.62285,7.77721,6.00497,1.21333,0.97854,40.2672845732655
